trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
5f630967-847c-4369-bd7e-62cc0065bea4,20000131130,U_REG,Mato Alto,13,1,mhki
6cf9a6c4-e88c-485c-b15d-c1ab26f29202,20000131130,U_REG,Mato Alto,13,1,mhki
2071b049-dfc0-4bd1-9882-7623df13b7e0,20000131130,U_REG,Mato Alto,13,1,mhki
69476f02-da87-484b-a4cd-6b379d2af8bf,20000131130,U_REG,Mato Alto,13,1,mhki
1d14c766-f977-4703-bd62-55a1140a40ad,20000131130,S_REG,Mato Alto,13,1,mhki
aadc2235-5253-45bb-a23c-32464698576b,20000131130,S_REG,Mato Alto,13,1,mhki
c92c0386-1968-48d6-8f48-358062119361,20000141130,U_REG,Salvador Allende,14,0,u0sq
4ed2d442-824a-4103-88a2-59e8472bae1f,20000141130,U_REG,Santa Eugênia (Paciência),14,1,05z4
af230fb1-5427-4fef-b9f7-76c3bb043c0f,20000141130,U_REG,Salvador Allende,14,0,u0sq
35274eb6-4e0c-45b5-a877-9d6ef817f895,20000141130,U_REG,Santa Eugênia (Paciência),14,1,05z4
9597c753-797a-4dd1-b76c-b75a59556430,20000171110,S_REG,Terminal Campo Grande,17,1,aq7f
d549ebbd-35dd-4650-8cce-3340cb68a103,20000171110,S_REG,Terminal Campo Grande,17,1,aq7f
f2028d2d-6417-463f-b112-e15e0959fff7,20000171110,S_REG,Terminal Campo Grande,17,1,aq7f
4a1e63d5-2841-4056-973e-9f3962aaa9ce,20000171110,U_REG,Terminal Santa Cruz,17,0,iygd
f701f943-1484-4966-9c0f-06fa10dff908,20000171110,U_REG,Terminal Santa Cruz,17,0,iygd
903806e9-438f-4c7b-a670-1cf4fa43b3f9,20000171110,U_REG,Terminal Santa Cruz,17,0,iygd
66bac921-1a24-47d6-8b1f-bc8c83c983a0,20000171110,U_REG,Terminal Santa Cruz,17,0,iygd
6d14edda-677e-45e0-9e83-e3769fd7d427,20000171110,U_REG,Terminal Santa Cruz,17,0,iygd
ea47aece-2ba8-461a-ad04-7b720daff714,20000171110,S_REG,Terminal Santa Cruz,17,0,iygd
7e58d118-34e8-4214-86ce-67889c501038,20000171110,S_REG,Terminal Santa Cruz,17,0,iygd
d74351ac-e805-467d-b281-7cd72ba7ce23,20000171110,S_REG,Terminal Santa Cruz,17,0,iygd
f0efef46-260e-4741-b9f3-6043ee06f952,20000171110,S_REG,Terminal Santa Cruz,17,0,iygd
e6423a64-f435-4fb2-855a-e05bd82a0cde,20000171110,D_REG,Terminal Santa Cruz,17,0,iygd
55769337-0d91-4285-b309-01c1796f90fe,20000171110,S_REG,Terminal Campo Grande,17,1,aq7f
7e3dc24d-8da2-4ff8-8d93-00019dc2418f,20000171110,S_REG,Terminal Campo Grande,17,1,aq7f
522dda67-19ab-4e5b-a488-b0233fb5b103,20000171110,D_REG,Terminal Santa Cruz,17,0,iygd
6b09ac02-dd3d-49c5-bebd-d3614a97c207,20000171110,D_REG,Terminal Santa Cruz,17,0,iygd
99e831f0-c55d-4f96-89c7-eaf908a13c0e,20000171110,U_REG,Terminal Campo Grande,17,1,aq7f
28c8a22c-8359-4122-9eab-f8d203d345db,20000171110,U_REG,Terminal Campo Grande,17,1,aq7f
